12 | 21
13 | 31
101 | 110
23 | 32
102 | 210
103 | 310
104 | 410
112 | 211
112 | 121
113 | 311
113 | 131
114 | 411
114 | 141
115 | 151
116 | 161
117 | 171
118 | 181
119 | 191
120 | 201
121 | 211
122 | 212
122 | 221
123 | 312
123 | 231
124 | 412
124 | 241
125 | 251
126 | 261
127 | 271
128 | 281
129 | 291
130 | 301
131 | 311
132 | 213
132 | 321
133 | 313
133 | 331
134 | 413
134 | 341
135 | 351
136 | 361
137 | 371
138 | 381
139 | 391
140 | 401
141 | 411
142 | 214
142 | 421
143 | 314
143 | 431
144 | 414
144 | 441
145 | 451
146 | 461
147 | 471
148 | 481
149 | 491
152 | 215
153 | 315
154 | 415
162 | 216
163 | 316
164 | 416
172 | 217
173 | 317
174 | 417
182 | 218
183 | 318
184 | 418
192 | 219
193 | 319
194 | 419
202 | 220
203 | 320
204 | 420
212 | 221
213 | 321
214 | 421
223 | 322
223 | 232
224 | 422
224 | 242
225 | 252
226 | 262
227 | 272
228 | 282
229 | 292
230 | 302
231 | 312
232 | 322
233 | 323
233 | 332
234 | 423
234 | 342
235 | 352
236 | 362
237 | 372
238 | 382
239 | 392
240 | 402
241 | 412
242 | 422
243 | 324
243 | 432
244 | 424
244 | 442
245 | 452
246 | 462
247 | 472
248 | 482
249 | 492
253 | 325
254 | 425
263 | 326
264 | 426
273 | 327
274 | 427
283 | 328
284 | 428
293 | 329
294 | 429
303 | 330
304 | 430
313 | 331
314 | 431
323 | 332
324 | 432
334 | 433
334 | 343
335 | 353
336 | 363
337 | 373
338 | 383
339 | 393
340 | 403
341 | 413
342 | 423
343 | 433
344 | 434
344 | 443
345 | 453
346 | 463
347 | 473
348 | 483
349 | 493
354 | 435
364 | 436
374 | 437
384 | 438
394 | 439
404 | 440
414 | 441
424 | 442
434 | 443
445 | 454
446 | 464
447 | 474
448 | 484
449 | 494
Case #0: 0
Case #1: 3
Case #2: 156
